Id,Inverted_Name,Print_Name
gbv,Gbanu,Gbanu
gbw,Gabi-Gabi,Gabi-Gabi
gbx,"Gbe, Eastern Xwla",Eastern Xwla Gbe
gby,Gbari,Gbari
gbz,"Dari, Zoroastrian",Zoroastrian Dari
gcc,Mali,Mali
gcd,Ganggalida,Ganggalida
gce,Galice,Galice
gcf,"Creole French, Guadeloupean",Guadeloupean Creole French
gcl,"Creole English, Grenadian",Grenadian Creole English
gcn,Gaina,Gaina
gcr,"Creole French, Guianese",Guianese Creole French
gct,"German, Colonia Tovar",Colonia Tovar German
gda,"Lohar, Gade",Gade Lohar
gdb,"Gadaba, Pottangi Ollar",Pottangi Ollar Gadaba
gdc,Gugu Badhun,Gugu Badhun
gdd,Gedaged,Gedaged
gde,Gude,Gude
gdf,Guduf-Gava,Guduf-Gava
gdg,Ga'dang,Ga'dang
gdh,Gadjerawang,Gadjerawang
gdh,Gajirrabeng,Gajirrabeng
gdi,Gundi,Gundi
gdj,Gurdjar,Gurdjar
gdk,Gadang,Gadang
gdl,Dirasha,Dirasha
gdm,Laal,Laal
gdn,Umanakaina,Umanakaina
gdo,Ghodoberi,Ghodoberi
gdq,Mehri,Mehri
gdr,Wipi,Wipi
gds,Ghandruk Sign Language,Ghandruk Sign Language
gdt,Kungardutyi,Kungardutyi
gdu,Gudu,Gudu
gdx,Godwari,Godwari
gea,Geruma,Geruma
geb,Kire,Kire
gec,"Grebo, Gboloo",Gboloo Grebo
ged,Gade,Gade
gef,Gerai,Gerai
geg,Gengle,Gengle
geh,Hutterisch,Hutterisch
geh,"German, Hutterite",Hutterite German
gei,Gebe,Gebe
gej,Gen,Gen
gek,Ywom,Ywom
gel,ut-Ma'in,ut-Ma'in
geq,Geme,Geme
ges,Geser-Gorom,Geser-Gorom
gev,Eviya,Eviya
gew,Gera,Gera
gex,Garre,Garre
gey,Enya,Enya
gez,Geez,Geez
gfk,Patpatar,Patpatar
gft,Gafat,Gafat
gga,Gao,Gao
ggb,Gbii,Gbii
ggd,Gugadj,Gugadj
gge,Gurr-goni,Gurr-goni
ggg,Gurgula,Gurgula
ggk,Kungarakany,Kungarakany
ggl,Ganglau,Ganglau
ggt,Gitua,Gitua
ggu,Gagu,Gagu
ggu,Gban,Gban
ggw,Gogodala,Gogodala
gha,Ghadamès,Ghadamès
ghc,"Gaelic, Hiberno-Scottish",Hiberno-Scottish Gaelic
ghe,"Ghale, Southern",Southern Ghale
ghh,"Ghale, Northern",Northern Ghale
ghk,"Karen, Geko",Geko Karen
ghl,Ghulfan,Ghulfan
ghn,Ghanongga,Ghanongga
gho,Ghomara,Ghomara
ghr,Ghera,Ghera
ghs,Guhu-Samane,Guhu-Samane
ght,Kuke,Kuke
ght,"Ghale, Kutang",Kutang Ghale
gia,Kija,Kija
gib,Gibanawa,Gibanawa
gic,Gail,Gail
gid,Gidar,Gidar
gie,Gaɓogbo,Gaɓogbo
gie,Guébie,Guébie
gig,Goaria,Goaria
gih,Githabul,Githabul
gii,Girirra,Girirra
gil,Gilbertese,Gilbertese
gim,Gimi (Eastern Highlands),Gimi (Eastern Highlands)
gin,Hinukh,Hinukh
gip,Gimi (West New Britain),Gimi (West New Britain)
giq,"Gelao, Green",Green Gelao
gir,"Gelao, Red",Red Gelao
gis,"Giziga, North",North Giziga
git,Gitxsan,Gitxsan
giu,Mulao,Mulao
giw,"Gelao, White",White Gelao
gix,Gilima,Gilima
giy,Giyug,Giyug
giz,"Giziga, South",South Giziga
gjk,"Koli, Kachi",Kachi Koli
gjm,Gunditjmara,Gunditjmara
gjn,Gonja,Gonja
gjr,Gurindji Kriol,Gurindji Kriol
gju,Gujari,Gujari
gka,Guya,Guya
gkd,Magɨ (Madang Province),Magɨ (Madang Province)
gke,Ndai,Ndai
gkn,Gokana,Gokana
gko,Kok-Nar,Kok-Nar
gkp,"Kpelle, Guinea",Guinea Kpelle
gku,ǂUngkue,ǂUngkue
gla,Gaelic,Gaelic
gla,"Gaelic, Scottish",Scottish Gaelic
glb,Belning,Belning
glc,Bon Gula,Bon Gula
gld,Nanai,Nanai
gle,Irish,Irish
glg,Galician,Galician
glh,"Pashai, Northwest",Northwest Pashai
glh,"Pashayi, Northwest",Northwest Pashayi
glj,Gula Iro,Gula Iro
glk,Gilaki,Gilaki
gll,Garlali,Garlali
glo,Galambu,Galambu
glr,Glaro-Twabo,Glaro-Twabo
glu,Gula (Chad),Gula (Chad)
glv,Manx,Manx
glw,Glavda,Glavda
gly,Gule,Gule
gma,Gambera,Gambera
gmb,Gula'alaa,Gula'alaa
gmd,Mághdì,Mághdì
gmg,Magɨyi,Magɨyi
gmh,"German, Middle High (ca. 1050-1500)",Middle High German (ca. 1050-1500)
gml,"German, Middle Low",Middle Low German
gmm,Gbaya-Mbodomo,Gbaya-Mbodomo
gmn,Gimnime,Gimnime
gmr,Mirning,Mirning
gmr,Mirniny,Mirniny
gmu,Gumalu,Gumalu
gmv,Gamo,Gamo
gmx,Magoma,Magoma
gmy,"Greek, Mycenaean",Mycenaean Greek
gmz,Mgbolizhia,Mgbolizhia
gna,Kaansa,Kaansa
gnb,Gangte,Gangte
gnc,Guanche,Guanche
gnd,Zulgo-Gemzek,Zulgo-Gemzek
gne,Ganang,Ganang
gng,Ngangam,Ngangam
gnh,Lere,Lere
gni,Gooniyandi,Gooniyandi
gnj,Ngen,Ngen
gnk,ǁGana,ǁGana
gnl,Gangulu,Gangulu
gnm,Ginuman,Ginuman
gnn,Gumatj,Gumatj
gno,"Gondi, Northern",Northern Gondi
gnq,Gana,Gana
gnr,Gureng Gureng,Gureng Gureng
gnt,Guntai,Guntai
gnu,Gnau,Gnau
gnw,"Guaraní, Western Bolivian",Western Bolivian Guaraní
gnz,Ganzi,Ganzi
goa,Guro,Guro
gob,Playero,Playero
goc,Gorakor,Gorakor
god,Godié,Godié
goe,Gongduk,Gongduk
gof,Gofa,Gofa
gog,Gogo,Gogo
goh,"German, Old High (ca. 750-1050)",Old High German (ca. 750-1050)
goi,Gobasi,Gobasi
goj,Gowlan,Gowlan
gok,Gowli,Gowli
gol,Gola,Gola
gom,"Konkani, Goan",Goan Konkani
gon,Gondi,Gondi
goo,Gone Dau,Gone Dau
gop,Yeretuar,Yeretuar
goq,Gorap,Gorap
gor,Gorontalo,Gorontalo
gos,Gronings,Gronings
got,Gothic,Gothic
gou,Gavar,Gavar
gov,Goo,Goo
gow,Gorowa,Gorowa
gox,Gobu,Gobu
goy,Goundo,Goundo
goz,Gozarkhani,Gozarkhani
gpa,Gupa-Abawa,Gupa-Abawa
gpe,"Pidgin English, Ghanaian",Ghanaian Pidgin English
gpn,Taiap,Taiap
gqa,Ga'anda,Ga'anda
gqi,Guiqiong,Guiqiong
gqn,Guana (Brazil),Guana (Brazil)
gqr,Gor,Gor
gqu,Qau,Qau
gra,"Garasia, Rajput",Rajput Garasia
grb,Grebo,Grebo
grc,"Greek, Ancient (to 1453)",Ancient Greek (to 1453)
grd,Guruntum-Mbaaru,Guruntum-Mbaaru
grg,Madi,Madi
grh,Gbiri-Niragu,Gbiri-Niragu
gri,Ghari,Ghari
grj,"Grebo, Southern",Southern Grebo
grm,Kota Marudu Talantang,Kota Marudu Talantang
grn,Guarani,Guarani
gro,Groma,Groma
grq,Gorovu,Gorovu
grr,Taznatit,Taznatit
grs,Gresi,Gresi
grt,Garo,Garo
gru,Kistane,Kistane
grv,"Grebo, Central",Central Grebo
grw,Gweda,Gweda
grx,Guriaso,Guriaso
gry,"Grebo, Barclayville",Barclayville Grebo
grz,Guramalum,Guramalum
gse,Ghanaian Sign Language,Ghanaian Sign Language
gsg,German Sign Language,German Sign Language
gsl,Gusilay,Gusilay
gsm,Guatemalan Sign Language,Guatemalan Sign Language
gsn,Gusan,Gusan
gsn,Nema,Nema
gso,"Gbaya, Southwest",Southwest Gbaya
gsp,Wasembo,Wasembo
gss,Greek Sign Language,Greek Sign Language
gsw,Alemannic,Alemannic
gsw,Alsatian,Alsatian
gsw,"German, Swiss",Swiss German
gta,Guató,Guató
gtu,Aghu-Tharnggala,Aghu-Tharnggala
gua,Shiki,Shiki
gub,Guajajára,Guajajára
guc,Wayuu,Wayuu
gud,"Dida, Yocoboué",Yocoboué Dida
gue,Gurindji,Gurindji
guf,Gupapuyngu,Gupapuyngu
gug,"Guaraní, Paraguayan",Paraguayan Guaraní
guh,Guahibo,Guahibo
gui,"Guaraní, Eastern Bolivian",Eastern Bolivian Guaraní
guj,Gujarati,Gujarati
guk,Gumuz,Gumuz
gul,"Creole English, Sea Island",Sea Island Creole English
gum,Guambiano,Guambiano
gun,"Guaraní, Mbyá",Mbyá Guaraní
guo,Guayabero,Guayabero
gup,Gunwinggu,Gunwinggu
guq,Aché,Aché
gur,Farefare,Farefare
gus,Guinean Sign Language,Guinean Sign Language
gut,Maléku Jaíka,Maléku Jaíka
guu,Yanomamö,Yanomamö
guw,Gun,Gun
gux,Gourmanchéma,Gourmanchéma
guz,Ekegusii,Ekegusii
guz,Gusii,Gusii
gva,Guana (Paraguay),Guana (Paraguay)
gvc,Guanano,Guanano
gve,Duwet,Duwet
gvf,Golin,Golin
gvj,Guajá,Guajá
gvl,Gulay,Gulay
gvm,Gurmana,Gurmana
gvn,Kuku-Yalanji,Kuku-Yalanji
gvo,Gavião Do Jiparaná,Gavião Do Jiparaná
gvp,"Gavião, Pará",Pará Gavião
gvr,Gurung,Gurung
gvs,Gumawana,Gumawana
gvy,Guyani,Guyani
gwa,Mbato,Mbato
gwb,Gwa,Gwa
gwc,Gawri,Gawri
gwc,Kalami,Kalami
gwd,Gawwada,Gawwada
gwe,Gweno,Gweno
gwf,Gowro,Gowro
gwg,Moo,Moo
gwi,Gwichʼin,Gwichʼin
gwj,ǀGwi,ǀGwi
gwm,Awngthim,Awngthim
gwn,Gwandara,Gwandara
gwr,Gwere,Gwere
gwt,Gawar-Bati,Gawar-Bati
gwu,Guwamu,Guwamu
gww,Kwini,Kwini
gwx,Gua,Gua
gxx,Wè Southern,Wè Southern
gya,"Gbaya, Northwest",Northwest Gbaya
gyb,Garus,Garus
gyd,Kayardild,Kayardild
gye,Gyem,Gyem
gyf,Gungabula,Gungabula
gyg,Gbayi,Gbayi
gyi,Gyele,Gyele
gyl,Gayil,Gayil
gym,Ngäbere,Ngäbere
gyn,"Creole English, Guyanese",Guyanese Creole English
gyo,Gyalsumdo,Gyalsumdo
gyr,Guarayu,Guarayu
gyy,Gunya,Gunya
gyz,Geji,Geji
gyz,Gyaazi,Gyaazi
gza,Ganza,Ganza
gzi,Gazi,Gazi
gzn,Gane,Gane
haa,Hän,Hän
hab,Hanoi Sign Language,Hanoi Sign Language
hac,Gurani,Gurani
had,Hatam,Hatam
hae,"Oromo, Eastern",Eastern Oromo
haf,Haiphong Sign Language,Haiphong Sign Language
hag,Hanga,Hanga
hah,Hahon,Hahon
hai,Haida,Haida
haj,Hajong,Hajong
hak,"Chinese, Hakka",Hakka Chinese
hal,Halang,Halang
ham,Hewa,Hewa
han,Hangaza,Hangaza
hao,Hakö,Hakö
hap,Hupla,Hupla
haq,Ha,Ha
har,Harari,Harari
has,Haisla,Haisla
hat,Haitian,Haitian
hat,"Creole, Haitian",Haitian Creole
hau,Hausa,Hausa
hav,Havu,Havu
haw,Hawaiian,Hawaiian
hax,"Haida, Southern",Southern Haida
hay,Haya,Haya
haz,Hazaragi,Hazaragi
hba,Hamba,Hamba
hbb,Huba,Huba
hbn,Heiban,Heiban
hbo,"Hebrew, Ancient",Ancient Hebrew
hbs,Serbo-Croatian,Serbo-Croatian
hbu,Habu,Habu
hca,"Creole Hindi, Andaman",Andaman Creole Hindi
hch,Huichol,Huichol
hdn,"Haida, Northern",Northern Haida
hds,Honduras Sign Language,Honduras Sign Language
hdy,Hadiyya,Hadiyya
hea,"Miao, Northern Qiandong",Northern Qiandong Miao
heb,Hebrew,Hebrew
hed,Herdé,Herdé
heg,Helong,Helong
heh,Hehe,Hehe
hei,Heiltsuk,Heiltsuk
hem,Hemba,Hemba
her,Herero,Herero
hgm,Haiǁom,Haiǁom
hgw,Haigwai,Haigwai
hhi,Hoia Hoia,Hoia Hoia
hhr,Kerak,Kerak
hhy,Hoyahoya,Hoyahoya
hia,Lamang,Lamang
hib,Hibito,Hibito
hid,Hidatsa,Hidatsa
hif,"Hindi, Fiji",Fiji Hindi
hig,Kamwe,Kamwe
hih,Pamosu,Pamosu
hii,Hinduri,Hinduri
hij,Hijuk,Hijuk
hik,Seit-Kaitetu,Seit-Kaitetu
hil,Hiligaynon,Hiligaynon
hin,Hindi,Hindi
hio,Tsoa,Tsoa
hir,Himarimã,Himarimã
hit,Hittite,Hittite
hiw,Hiw,Hiw
hix,Hixkaryána,Hixkaryána
hji,Haji,Haji
hka,Kahe,Kahe
hke,Hunde,Hunde
hkh,Khah,Khah
hkh,Poguli,Poguli
hkk,Hunjara-Kaina Ke,Hunjara-Kaina Ke
hkn,Mel-Khaonh,Mel-Khaonh
hks,Heung Kong Sau Yue,Heung Kong Sau Yue
hks,Hong Kong Sign Language,Hong Kong Sign Language
hla,Halia,Halia
hlb,Halbi,Halbi
hld,Halang Doan,Halang Doan
hle,Hlersu,Hlersu
hlt,"Chin, Matu",Matu Chin
hlu,"Luwian, Hieroglyphic",Hieroglyphic Luwian
hma,"Hmong, Southern Mashan",Southern Mashan Hmong
hma,"Miao, Southern Mashan",Southern Mashan Miao
hmb,"Songhay, Humburi Senni",Humburi Senni Songhay
hmc,"Hmong, Central Huishui",Central Huishui Hmong
hmc,"Miao, Central Huishui",Central Huishui Miao
hmd,A-hmaos,A-hmaos
hmd,"Miao, Da-Hua",Da-Hua Miao
hmd,"Miao, Large Flowery",Large Flowery Miao
hme,"Hmong, Eastern Huishui",Eastern Huishui Hmong
hme,"Miao, Eastern Huishui",Eastern Huishui Miao
hmf,Hmong Don,Hmong Don
hmg,"Hmong, Southwestern Guiyang",Southwestern Guiyang Hmong
hmh,"Hmong, Southwestern Huishui",Southwestern Huishui Hmong
hmh,"Miao, Southwestern Huishui",Southwestern Huishui Miao
hmi,"Hmong, Northern Huishui",Northern Huishui Hmong
hmi,"Miao, Northern Huishui",Northern Huishui Miao
hmj,Ge,Ge
hmj,Gejia,Gejia
hmk,Maek,Maek
hml,"Hmong, Luopohe",Luopohe Hmong
hml,"Miao, Luopohe",Luopohe Miao
hmm,"Hmong, Central Mashan",Central Mashan Hmong
hmm,"Miao, Central Mashan",Central Mashan Miao
hmn,Hmong,Hmong
hmn,Mong,Mong
hmo,Hiri Motu,Hiri Motu
hmp,"Hmong, Northern Mashan",Northern Mashan Hmong
hmp,"Miao, Northern Mashan",Northern Mashan Miao
hmq,"Miao, Eastern Qiandong",Eastern Qiandong Miao
hmr,Hmar,Hmar
hms,"Miao, Southern Qiandong",Southern Qiandong Miao
hmt,Hamtai,Hamtai
hmu,Hamap,Hamap
hmv,Hmong Dô,Hmong Dô
hmw,"Hmong, Western Mashan",Western Mashan Hmong
hmw,"Miao, Western Mashan",Western Mashan Miao
hmy,"Hmong, Southern Guiyang",Southern Guiyang Hmong
hmy,"Miao, Southern Guiyang",Southern Guiyang Miao
hmz,Hmong Shua,Hmong Shua
hmz,"Miao, Sinicized",Sinicized Miao
hna,Mina (Cameroon),Mina (Cameroon)
hnd,"Hindko, Southern",Southern Hindko
hne,Chhattisgarhi,Chhattisgarhi
hng,Hungu,Hungu
hnh,ǁAni,ǁAni
hni,Hani,Hani
hnj,Hmong Njua,Hmong Njua
hnj,Mong Leng,Mong Leng
hnj,Mong Njua,Mong Njua
hnm,Hainanese,Hainanese
hnn,Hanunoo,Hanunoo
hno,"Hindko, Northern",Northern Hindko
hns,"Hindustani, Caribbean",Caribbean Hindustani
hnu,Hung,Hung
hoa,Hoava,Hoava
hob,Mari (Madang Province),Mari (Madang Province)
hoc,Ho,Ho
hod,Holma,Holma
hoe,Horom,Horom
hoh,Hobyót,Hobyót
hoi,Holikachuk,Holikachuk
hoj,Hadothi,Hadothi
hoj,Haroti,Haroti
hol,Holu,Holu
hom,Homa,Homa
hoo,Holoholo,Holoholo
hop,Hopi,Hopi
hor,Horo,Horo
hos,Ho Chi Minh City Sign Language,Ho Chi Minh City Sign Language
hot,Hote,Hote
hot,Malê,Malê
hov,Hovongan,Hovongan
how,Honi,Honi
hoy,Holiya,Holiya
hoz,Hozo,Hozo
hpo,Hpon,Hpon
hps,Hawai'i Pidgin Sign Language,Hawai'i Pidgin Sign Language
hps,Hawai'i Sign Language (HSL),Hawai'i Sign Language (HSL)
hra,Hrangkhol,Hrangkhol
hrc,Niwer Mil,Niwer Mil
hre,Hre,Hre
hrk,Haruku,Haruku
hrm,"Miao, Horned",Horned Miao
hro,Haroi,Haroi
hrp,Nhirrpi,Nhirrpi
hrt,Hértevin,Hértevin
hru,Hruso,Hruso
hrv,Croatian,Croatian
hrw,Warwar Feni,Warwar Feni
hrx,Hunsrik,Hunsrik
hrz,Harzani,Harzani
hsb,"Sorbian, Upper",Upper Sorbian
hsh,Hungarian Sign Language,Hungarian Sign Language
hsl,Hausa Sign Language,Hausa Sign Language
hsn,"Chinese, Xiang",Xiang Chinese
hss,Harsusi,Harsusi
hti,Hoti,Hoti
hto,"Huitoto, Minica",Minica Huitoto
hts,Hadza,Hadza
htu,Hitu,Hitu
htx,"Hittite, Middle",Middle Hittite
hub,Huambisa,Huambisa
huc,ǂ'Amkhoe,ǂ'Amkhoe
huc,ǂHua,ǂHua
hud,Huaulu,Huaulu
hue,"Huave, San Francisco Del Mar",San Francisco Del Mar Huave
huf,Humene,Humene
hug,Huachipaeri,Huachipaeri
huh,Huilliche,Huilliche
hui,Huli,Huli
huj,"Hmong, Northern Guiyang",Northern Guiyang Hmong
huj,"Miao, Northern Guiyang",Northern Guiyang Miao
huk,Hulung,Hulung
hul,Hula,Hula
hum,Hungana,Hungana
hun,Hungarian,Hungarian
huo,Hu,Hu
hup,Hupa,Hupa
huq,Tsat,Tsat
hur,Halkomelem,Halkomelem
hus,Huastec,Huastec
hut,Humla,Humla
huu,"Huitoto, Murui",Murui Huitoto
huv,"Huave, San Mateo Del Mar",San Mateo Del Mar Huave
huw,Hukumina,Hukumina
hux,"Huitoto, Nüpode",Nüpode Huitoto
huy,Hulaulá,Hulaulá
huz,Hunzib,Hunzib
hvc,Haitian Vodoun Culture Language,Haitian Vodoun Culture Language
hve,"Huave, San Dionisio Del Mar",San Dionisio Del Mar Huave
hvk,Haveke,Haveke
hvn,Sabu,Sabu
hvv,"Huave, Santa María Del Mar",Santa María Del Mar Huave
hwa,Wané,Wané
hwc,"Creole English, Hawai'i",Hawai'i Creole English
hwc,Hawai'i Pidgin,Hawai'i Pidgin
hwo,Hwana,Hwana
hya,Hya,Hya
hye,Armenian,Armenian
hyw,"Armenian, Western",Western Armenian
iai,Iaai,Iaai
ian,Iatmul,Iatmul
iar,Purari,Purari
iba,Iban,Iban
ibb,Ibibio,Ibibio
ibd,Iwaidja,Iwaidja
ibe,Akpes,Akpes
ibg,Ibanag,Ibanag
ibh,Bih,Bih
ibl,Ibaloi,Ibaloi
ibm,Agoi,Agoi
ibn,Ibino,Ibino
ibo,Igbo,Igbo
ibr,Ibuoro,Ibuoro
ibu,Ibu,Ibu
iby,Ibani,Ibani
ica,Ede Ica,Ede Ica
ich,Etkywan,Etkywan
icl,Icelandic Sign Language,Icelandic Sign Language
icr,"Creole English, Islander",Islander Creole English
ida,Idakho-Isukha-Tiriki,Idakho-Isukha-Tiriki
ida,Luidakho-Luisukha-Lutirichi,Luidakho-Luisukha-Lutirichi
idb,Indo-Portuguese,Indo-Portuguese
idc,Ajiya,Ajiya
idc,Idon,Idon
idd,Ede Idaca,Ede Idaca
ide,Idere,Idere
idi,Idi,Idi
ido,Ido,Ido
idr,Indri,Indri
ids,Idesa,Idesa
idt,Idaté,Idaté
idu,Idoma,Idoma
ifa,"Ifugao, Amganad",Amganad Ifugao
ifb,"Ifugao, Ayangan",Ayangan Ifugao
ifb,"Ifugao, Batad",Batad Ifugao
ife,Ifè,Ifè
iff,Ifo,Ifo
ifk,"Ifugao, Tuwali",Tuwali Ifugao
ifm,Teke-Fuumu,Teke-Fuumu
ifu,"Ifugao, Mayoyao",Mayoyao Ifugao
ify,"Kallahan, Keley-I",Keley-I Kallahan
igb,Ebira,Ebira
ige,Igede,Igede
igg,Igana,Igana
igl,Igala,Igala
igm,Kanggape,Kanggape
ign,Ignaciano,Ignaciano
igo,Isebe,Isebe
igs,Interglossa,Interglossa
igw,Igwe,Igwe
ihb,Iha Based Pidgin,Iha Based Pidgin
ihi,Ihievbe,Ihievbe
ihp,Iha,Iha
ihw,Bidhawal,Bidhawal
iii,Nuosu,Nuosu
iii,"Yi, Sichuan",Sichuan Yi
iin,Thiin,Thiin
ijc,Izon,Izon
ije,Biseni,Biseni
ijj,Ede Ije,Ede Ije
ijn,Kalabari,Kalabari
ijs,"Ijo, Southeast",Southeast Ijo
ike,"Inuktitut, Eastern Canadian",Eastern Canadian Inuktitut
ikh,Ikhin-Arokho,Ikhin-Arokho
iki,Iko,Iko
ikk,Ika,Ika
ikl,Ikulu,Ikulu
iko,Olulumo-Ikom,Olulumo-Ikom
ikp,Ikpeshi,Ikpeshi
ikr,Ikaranggal,Ikaranggal
iks,Inuit Sign Language,Inuit Sign Language
ikt,Inuinnaqtun,Inuinnaqtun
ikt,"Inuktitut, Western Canadian",Western Canadian Inuktitut
iku,Inuktitut,Inuktitut
ikv,Iku-Gora-Ankwa,Iku-Gora-Ankwa
ikw,Ikwere,Ikwere
ikx,Ik,Ik
ikz,Ikizu,Ikizu
ila,Ile Ape,Ile Ape
ilb,Ila,Ila
ile,Interlingue,Interlingue
ile,Occidental,Occidental
ilg,Garig-Ilgar,Garig-Ilgar
ili,Ili Turki,Ili Turki
ilk,Ilongot,Ilongot
ilm,Iranun (Malaysia),Iranun (Malaysia)
ilo,Iloko,Iloko
ilp,Iranun (Philippines),Iranun (Philippines)
ils,International Sign,International Sign
ilu,Ili'uun,Ili'uun
ilv,Ilue,Ilue
ima,"Malasar, Mala",Mala Malasar
imi,Anamgura,Anamgura
iml,Miluk,Miluk
imn,Imonda,Imonda
imo,Imbongu,Imbongu
imr,Imroing,Imroing
ims,Marsian,Marsian
imt,Imotong,Imotong
imy,Milyan,Milyan
ina,Interlingua (International Auxiliary Language Association),Interlingua (International Auxiliary Language Association)
inb,Inga,Inga
ind,Indonesian,Indonesian
ing,Degexit'an,Degexit'an
inh,Ingush,Ingush
inj,"Inga, Jungle",Jungle Inga
inl,Indonesian Sign Language,Indonesian Sign Language
inm,Minaean,Minaean
inn,Isinai,Isinai
ino,Inoke-Yate,Inoke-Yate
inp,Iñapari,Iñapari
ins,Indian Sign Language,Indian Sign Language
int,Intha,Intha
inz,Ineseño,Ineseño
ior,Inor,Inor
iou,Tuma-Irumu,Tuma-Irumu
iow,Iowa-Oto,Iowa-Oto
ipi,Ipili,Ipili
ipk,Inupiaq,Inupiaq
ipo,Ipiko,Ipiko
iqu,Iquito,Iquito
iqw,Ikwo,Ikwo
ire,Iresim,Iresim
irh,Irarutu,Irarutu
iri,Irigwe,Irigwe
iri,Rigwe,Rigwe
irk,Iraqw,Iraqw
irn,Irántxe,Irántxe
irr,Ir,Ir
iru,Irula,Irula
irx,Kamberau,Kamberau
iry,Iraya,Iraya
isa,Isabi,Isabi
isc,Isconahua,Isconahua
isd,Isnag,Isnag
ise,Italian Sign Language,Italian Sign Language
isg,Irish Sign Language,Irish Sign Language
ish,Esan,Esan
isi,Nkem-Nkum,Nkem-Nkum
isk,Ishkashimi,Ishkashimi
isl,Icelandic,Icelandic
ism,Masimasi,Masimasi
isn,Isanzu,Isanzu
iso,Isoko,Isoko
isr,Israeli Sign Language,Israeli Sign Language
ist,Istriot,Istriot
isu,Isu (Menchum Division),Isu (Menchum Division)
isv,Interslavic,Interslavic
ita,Italian,Italian
itb,"Itneg, Binongan",Binongan Itneg
itd,"Tidung, Southern",Southern Tidung
ite,Itene,Itene
iti,"Itneg, Inlaod",Inlaod Itneg
itk,Judeo-Italian,Judeo-Italian
itl,Itelmen,Itelmen
itm,Itu Mbon Uzo,Itu Mbon Uzo
ito,Itonama,Itonama
itr,Iteri,Iteri
its,Isekiri,Isekiri
itt,"Itneg, Maeng",Maeng Itneg
itv,Itawit,Itawit
itw,Ito,Ito
itx,Itik,Itik
ity,"Itneg, Moyadan",Moyadan Itneg
itz,Itzá,Itzá
ium,"Mien, Iu",Iu Mien
ivb,Ibatan,Ibatan
ivv,Ivatan,Ivatan
iwk,I-Wak,I-Wak
iwm,Iwam,Iwam
iwo,Iwur,Iwur
iws,"Iwam, Sepik",Sepik Iwam
ixc,Ixcatec,Ixcatec
ixl,Ixil,Ixil
iya,Iyayu,Iyayu
iyo,Mesaka,Mesaka
iyx,Yaka (Congo),Yaka (Congo)
izh,Ingrian,Ingrian
izm,Kizamani,Kizamani
izr,Izere,Izere
izz,Izii,Izii
jaa,Jamamadí,Jamamadí
jab,Hyam,Hyam
jac,Jakalteko,Jakalteko
jac,Popti',Popti'
jad,Jahanka,Jahanka
jae,Yabem,Yabem
jaf,Jara,Jara
jah,Jah Hut,Jah Hut
jaj,Zazao,Zazao
jak,Jakun,Jakun
jal,Yalahatan,Yalahatan
jam,"Creole English, Jamaican",Jamaican Creole English
jan,Jandai,Jandai
jao,Yanyuwa,Yanyuwa
jaq,Yaqay,Yaqay
jas,"Javanese, New Caledonian",New Caledonian Javanese
jat,Jakati,Jakati
jau,Yaur,Yaur
jav,Javanese,Javanese
jax,"Malay, Jambi",Jambi Malay
jay,Nhangu,Nhangu
jay,Yan-nhangu,Yan-nhangu
jaz,Jawe,Jawe
jbe,Judeo-Berber,Judeo-Berber
jbi,Badjiri,Badjiri
jbj,Arandai,Arandai
jbk,Barikewa,Barikewa
jbm,Bijim,Bijim
jbn,Nafusi,Nafusi
jbo,Lojban,Lojban
jbr,Jofotek-Bromnya,Jofotek-Bromnya
jbt,Jabutí,Jabutí
jbu,Jukun Takum,Jukun Takum
jbw,Yawijibaya,Yawijibaya
jcs,Jamaican Country Sign Language,Jamaican Country Sign Language
jct,Krymchak,Krymchak
jda,Jad,Jad
jdg,Jadgali,Jadgali
jdt,Judeo-Tat,Judeo-Tat
jeb,Jebero,Jebero
jee,Jerung,Jerung
jeh,Jeh,Jeh
jei,Yei,Yei
jek,Jeri Kuo,Jeri Kuo
jel,Yelmek,Yelmek
jen,Dza,Dza
jer,Jere,Jere
jet,Manem,Manem
jeu,Jonkor Bourmataguil,Jonkor Bourmataguil
jgb,Ngbee,Ngbee
jge,Judeo-Georgian,Judeo-Georgian
jgk,Gwak,Gwak
jgo,Ngomba,Ngomba
jhi,Jehai,Jehai
jhs,Jhankot Sign Language,Jhankot Sign Language
jia,Jina,Jina
jib,Jibu,Jibu
jic,Tol,Tol
jid,Bu (Kaduna State),Bu (Kaduna State)
jie,Jilbe,Jilbe
jig,Djingili,Djingili
jig,Jingulu,Jingulu
jih,Shangzhai,Shangzhai
jih,sTodsde,sTodsde
jii,Jiiddu,Jiiddu
jil,Jilim,Jilim
jim,Jimi (Cameroon),Jimi (Cameroon)
jio,Jiamao,Jiamao
jiq,Guanyinqiao,Guanyinqiao
jiq,Lavrung,Lavrung
jit,Jita,Jita
jiu,"Jinuo, Youle",Youle Jinuo
jiv,Shuar,Shuar
jiy,"Jinuo, Buyuan",Buyuan Jinuo
jje,Jejueo,Jejueo
jjr,Bankal,Bankal
jka,Kaera,Kaera
jkm,"Karen, Mobwa",Mobwa Karen
jko,Kubo,Kubo
jkp,"Karen, Paku",Paku Karen
jkr,Koro (India),Koro (India)
jks,Amami Koniya Sign Language,Amami Koniya Sign Language
jku,Labir,Labir
jle,Ngile,Ngile
